algorithm,n,structure,element_type,runs,mean_ms,min_ms,max_ms
intro_sort,100,almost_sorted,int,200,0.0409,0.03,0.1455
merge_sort,100,almost_sorted,int,200,0.1859,0.139,0.5315
merge_sort_iterative,100,almost_sorted,int,200,0.225,0.1442,0.5616
patience_sort,100,almost_sorted,int,200,0.1625,0.1097,0.455
quick_sort,100,almost_sorted,int,200,0.1034,0.0608,0.4467
radix_sort,100,almost_sorted,int,200,0.1407,0.0958,0.4478
selection_sort,100,almost_sorted,int,200,0.2485,0.1876,1.0148
shell_sort,100,almost_sorted,int,200,0.0955,0.0641,0.4973
tim_sort,100,almost_sorted,int,200,0.0028,0.0021,0.0084
bubble_sort,100,half_sorted,int,200,0.4754,0.3144,1.5646
bucket_sort,100,half_sorted,int,200,0.0717,0.0546,0.3568
comb_sort,100,half_sorted,int,200,0.1145,0.0799,0.3619
counting_sort,100,half_sorted,int,200,0.2137,0.1747,0.568
heap_sort,100,half_sorted,int,200,0.1814,0.1414,0.6166
insertion_sort,100,half_sorted,int,200,0.1939,0.135,0.6368
intro_sort,100,half_sorted,int,200,0.0536,0.0431,0.1679
merge_sort,100,half_sorted,int,200,0.1611,0.129,0.4875
merge_sort_iterative,100,half_sorted,int,200,0.1931,0.1399,0.532
patience_sort,100,half_sorted,int,200,0.1314,0.0991,0.3924
quick_sort,100,half_sorted,int,200,0.0743,0.0654,0.2864
radix_sort,100,half_sorted,int,200,0.1031,0.0849,0.3251
selection_sort,100,half_sorted,int,200,0.2796,0.1892,0.8862
shell_sort,100,half_sorted,int,200,0.0937,0.0774,0.3183
tim_sort,100,half_sorted,int,200,0.0068,0.0027,0.1351
bubble_sort,100,flat,int,200,0.4896,0.3379,1.7838
bucket_sort,100,flat,int,200,0.053,0.0458,0.1352
comb_sort,100,flat,int,200,0.1101,0.0551,0.4971
counting_sort,100,flat,int,200,0.0146,0.0104,0.1
heap_sort,100,flat,int,200,0.134,0.1156,0.4443
insertion_sort,100,flat,int,200,0.2012,0.1509,0.7231
intro_sort,100,flat,int,200,0.0642,0.0566,0.2869
merge_sort,100,flat,int,200,0.2032,0.1479,0.6312
merge_sort_iterative,100,flat,int,200,0.2234,0.1616,0.5819
patience_sort,100,flat,int,200,0.1265,0.0947,0.4837
quick_sort,100,flat,int,200,0.1919,0.1386,0.6709
radix_sort,100,flat,int,200,0.0371,0.0299,0.1063
selection_sort,100,flat,int,200,0.301,0.2118,0.9652
shell_sort,100,flat,int,200,0.0619,0.0597,0.1009
tim_sort,100,flat,int,200,0.006,0.0033,0.0892
bubble_sort,1000,random,int,20,90.7918,52.6352,220.7051
bucket_sort,1000,random,int,20,1.1288,0.7109,2.1848
comb_sort,1000,random,int,20,3.4906,2.1445,6.5791
counting_sort,1000,random,int,20,3.2463,1.872,5.7909
heap_sort,1000,random,int,20,5.1517,2.8721,9.9851
insertion_sort,1000,random,int,20,37.1035,29.2232,53.9683
intro_sort,1000,random,int,20,1.1843,0.9882,2.0065
merge_sort,1000,random,int,20,3.1491,2.1659,6.3196
merge_sort_iterative,1000,random,int,20,3.4655,2.6097,6.1543
patience_sort,1000,random,int,20,1.4284,1.1159,3.1334
quick_sort,1000,random,int,20,1.4124,1.1103,3.8222
radix_sort,1000,random,int,20,1.9219,1.3797,4.7459
selection_sort,1000,random,int,20,30.7998,24.5725,63.4723
shell_sort,1000,random,int,20,3.2578,1.7928,5.7943
tim_sort,1000,random,int,20,0.1016,0.0925,0.1402
bubble_sort,1000,sorted,int,20,0.0659,0.0634,0.0774
bucket_sort,1000,sorted,int,20,0.68,0.5275,1.4432
comb_sort,1000,sorted,int,20,1.7131,1.1128,3.7305
counting_sort,1000,sorted,int,20,2.2825,1.7926,3.7842
heap_sort,1000,sorted,int,20,4.0994,2.854,9.5597
insertion_sort,1000,sorted,int,20,0.2292,0.1282,0.493
intro_sort,1000,sorted,int,20,1.0675,0.7257,2.3827
merge_sort,1000,sorted,int,20,3.421,1.6512,5.3396
merge_sort_iterative,1000,sorted,int,20,2.427,1.76,4.8089
patience_sort,1000,sorted,int,20,2.3185,1.9447,4.4989
quick_sort,1000,sorted,int,20,1.0964,0.9359,1.9358
radix_sort,1000,sorted,int,20,1.9003,1.3071,4.0011
selection_sort,1000,sorted,int,20,29.0753,22.1863,69.1927
shell_sort,1000,sorted,int,20,1.3666,0.7497,3.3738
tim_sort,1000,sorted,int,20,0.0079,0.007,0.0133
bubble_sort,1000,reverse,int,20,82.7727,67.3205,148.529
bucket_sort,1000,reverse,int,20,0.7188,0.454,1.3824
comb_sort,1000,reverse,int,20,1.5177,1.223,2.8471
counting_sort,1000,reverse,int,20,1.738,1.5201,2.0287
heap_sort,1000,reverse,int,20,2.5935,1.9852,4.8289
insertion_sort,1000,reverse,int,20,61.5796,49.1876,130.7103
intro_sort,1000,reverse,int,20,2.1714,1.3974,5.9202
merge_sort,1000,reverse,int,20,2.3718,1.5392,4.6364
merge_sort_iterative,1000,reverse,int,20,2.2815,1.6912,4.408
patience_sort,1000,reverse,int,20,0.705,0.5447,1.5239
quick_sort,1000,reverse,int,20,2.1033,1.4513,5.2668
radix_sort,1000,reverse,int,20,1.4804,1.3966,1.6999
selection_sort,1000,reverse,int,20,34.7587,23.4633,76.3109
shell_sort,1000,reverse,int,20,1.5662,1.2921,2.8238
tim_sort,1000,reverse,int,20,0.0152,0.0091,0.0291
bubble_sort,1000,almost_sorted,int,20,42.0226,31.3479,79.8186
bucket_sort,1000,almost_sorted,int,20,0.7534,0.6445,1.1767
comb_sort,1000,almost_sorted,int,20,1.936,1.3419,5.2728
counting_sort,1000,almost_sorted,int,20,2.5554,1.7771,3.9109
heap_sort,1000,almost_sorted,int,20,3.1364,2.678,4.7449
insertion_sort,1000,almost_sorted,int,20,2.4124,1.3468,5.3611
intro_sort,1000,almost_sorted,int,20,1.6273,1.1746,4.51
